ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,NumWebPurchases,NumWebVisitsMonth
6260,1955,Master,Together,82384,0,0,19-11-2012,5,1
10383,1966,Graduation,Divorced,70287,0,0,2/4/2013,9,3
7437,1988,Graduation,Single,27938,1,0,28-04-2014,9,3
8557,1982,Graduation,Single,,1,0,17-06-2013,8,6
8375,1968,PhD,Married,55954,0,1,3/3/2014,9,7
6853,1982,Master,Single,75777,0,0,4/7/2013,6,1
3076,1975,Graduation,Together,66653,1,1,7/9/2012,5,3
1012,1952,Graduation,Single,61823,0,1,18-02-2013,10,7
6518,1951,PhD,Widow,67680,0,1,11/6/2013,10,5
4137,1948,Graduation,Together,70666,0,0,6/12/2013,4,4
8082,1971,Graduation,Married,25721,1,0,21-05-2013,6,7
1386,1967,Graduation,Together,32474,1,1,11/5/2014,9,7
9369,1979,2n Cycle,Single,88194,0,1,19-03-2014,5,5
4477,1958,Graduation,Together,69096,0,1,27-09-2013,6,4
1357,1970,Graduation,Together,74854,1,2,8/4/2013,7,5
1402,1954,Master,Married,66991,0,0,11/9/2012,5,3
10629,1973,2n Cycle,Married,,1,0,14-09-2012,2,8
6312,1959,Graduation,Married,65031,0,1,17-03-2013,5,7
8132,1975,PhD,Married,60631,1,1,5/4/2013,2,7
1050,1952,Graduation,Married,28332,0,0,30-04-2014,8,2
5846,1977,Graduation,Divorced,40246,1,0,19-12-2012,7,6
1859,1972,Master,Married,75251,0,0,27-08-2012,9,5
7503,1976,Graduation,Single,75825,0,0,12/10/2012,6,4
10401,1976,2n Cycle,Together,26326,0,0,4/9/2013,5,3
1618,1965,Graduation,Together,56046,0,0,2/1/2013,8,8
3332,1985,Graduation,Single,29760,1,0,29-08-2012,9,8
2261,1969,Graduation,Married,26304,1,0,23-06-2013,3,7
5346,1973,2n Cycle,Married,23559,1,0,3/7/2013,6,7
4119,1963,Master,Together,38620,0,0,11/5/2013,6,3
535,1987,Graduation,Divorced,81361,0,0,25-02-2014,2,1
5268,1960,Graduation,Married,29440,1,1,11/8/2013,5,7
273,1970,Master,Married,36138,1,1,16-07-2013,3,7
4452,1957,Graduation,Single,50388,0,1,28-05-2014,5,7
8504,1973,Graduation,Married,79593,0,0,12/5/2014,8,2
771,1967,Graduation,Together,54178,0,1,21-01-2014,3,2
8996,1957,PhD,Married,,2,1,19-11-2012,6,9
9235,1957,Graduation,Single,,1,1,27-05-2014,1,7
5798,1973,Master,Together,,0,0,23-11-2013,8,1
11178,1972,Master,Single,42394,1,0,23-03-2014,4,7
2230,1970,PhD,Married,23626,1,0,24-05-2014,2,5
7516,1983,Graduation,Married,30096,1,0,22-05-2014,6,6
7247,1960,Graduation,Widow,47916,0,1,22-11-2012,4,6
11100,1972,Graduation,Divorced,51813,1,1,11/4/2013,6,7
4646,1951,2n Cycle,Married,78497,0,0,1/12/2013,4,2
3037,1983,PhD,Married,50150,0,0,20-06-2013,10,5
1473,1960,2n Cycle,Single,47823,0,1,23-07-2013,4,8
1016,1959,PhD,Single,34554,0,1,30-03-2014,9,6
4518,1979,Graduation,Together,85693,0,1,20-04-2013,5,5
9370,1945,PhD,Married,65846,0,0,17-05-2013,5,4
8908,1959,Graduation,Married,87195,0,0,8/5/2014,13,1
8373,1979,Basic,Together,24594,1,0,10/12/2013,9,5
7533,1964,Graduation,Married,49096,1,1,24-09-2013,4,7
2683,1969,Graduation,Married,52413,0,2,2/2/2013,5,6
3629,1978,Graduation,Single,38557,1,0,19-12-2012,7,7
10991,1960,Master,Married,89058,0,0,7/12/2012,10,2
5077,1979,Graduation,Together,77298,0,1,2/11/2013,3,3
7431,1991,PhD,Single,68126,0,0,10/11/2012,1,9
3267,1963,Master,Together,57288,0,1,25-06-2014,7,6
999,1991,Graduation,Single,86037,0,0,2/1/2013,2,3
9215,1980,PhD,Married,43974,1,0,12/12/2012,7,7
2286,1962,Graduation,Single,50785,1,1,10/9/2013,3,6
1592,1970,Graduation,Married,90765,0,0,24-01-2014,8,1
367,1978,2n Cycle,Married,36550,1,0,19-02-2013,7,9
5234,1967,2n Cycle,Together,30753,1,1,11/7/2013,1,5
9862,1969,Graduation,Together,21918,1,0,14-11-2013,3,6
9805,1953,Master,Together,56129,0,1,20-06-2013,5,4
6205,1967,Master,Single,32557,1,0,24-02-2014,2,5
8442,1985,Master,Married,19510,2,0,4/9/2013,2,7
7386,1976,Graduation,Divorced,30992,1,0,22-04-2013,3,7
7215,1983,Graduation,Single,101970,0,0,12/3/2013,8,2
1491,1965,2n Cycle,Together,71488,0,0,18-02-2013,11,1
11071,1984,Graduation,Single,79607,0,0,21-04-2013,8,1
3381,1953,Master,Married,54348,1,1,8/6/2014,1,6
8268,1961,PhD,Married,,0,1,11/7/2013,4,6
11051,1956,PhD,Together,77376,1,1,10/5/2014,7,4
8026,1952,Graduation,Married,62998,0,1,30-09-2013,2,5
433,1958,Master,Alone,61331,1,1,10/3/2013,1,8
9597,1969,Graduation,Married,73448,0,0,10/2/2014,4,4
1295,1963,Graduation,Married,,0,1,11/8/2013,3,4
5290,1964,PhD,Married,41551,1,1,14-08-2013,6,8
1685,1967,PhD,Together,62981,0,0,17-03-2013,11,3
5342,1976,Basic,Divorced,9548,1,0,8/8/2012,6,8
9579,1959,PhD,Married,33762,2,1,7/7/2013,12,8
7660,1973,PhD,Alone,35860,1,1,19-05-2014,9,5
1461,1965,PhD,Divorced,36921,1,1,28-07-2013,7,7
821,1992,Master,Single,92859,0,0,19-10-2012,9,2
11084,1976,Master,Together,65104,0,1,14-11-2013,12,7
8690,1962,Graduation,Married,86111,0,0,19-04-2013,8,2
2937,1974,PhD,Single,68352,0,1,28-08-2013,6,6
9701,1988,Graduation,Together,41883,1,0,19-03-2013,3,7
9949,1976,Graduation,Married,59809,0,2,18-10-2012,10,8
10837,1975,Graduation,Married,23957,1,0,28-10-2012,7,6
3120,1981,Graduation,Together,38547,1,0,28-08-2013,3,8
5885,1973,2n Cycle,Married,35688,2,1,22-08-2012,8,8
4050,1966,Master,Married,49605,0,0,21-06-2014,7,3
3830,1953,Master,Married,59354,0,2,24-04-2014,4,3
7987,1969,Graduation,Married,65747,0,1,7/3/2014,9,6
7798,1972,2n Cycle,Together,46344,0,1,14-12-2012,6,7
92,1988,Graduation,Alone,34176,1,0,12/5/2014,1,6
7055,1952,PhD,Together,61010,0,1,9/10/2012,10,5
10240,1949,Graduation,Together,69372,0,0,19-02-2013,7,4
3025,1958,Graduation,Single,49967,0,1,8/7/2013,2,7
9283,1978,Graduation,Single,60199,1,2,12/9/2013,8,4
9970,1977,Graduation,Together,55375,0,1,17-10-2013,3,2
2730,1955,Graduation,Single,80317,0,0,20-08-2013,7,1
2795,1958,Master,Single,30523,2,1,1/7/2013,7,7
9260,1945,PhD,Married,70356,0,0,5/11/2012,3,6
8182,1984,Graduation,Married,23228,1,0,5/1/2014,6,8
10095,1975,PhD,Divorced,74165,0,0,1/5/2013,5,2
8475,1973,PhD,Married,157243,0,1,1/3/2014,5,0
4370,1966,Graduation,Together,43482,2,1,13-11-2013,8,6
10573,1953,Graduation,Divorced,62551,0,0,18-11-2013,5,3
3712,1959,Graduation,Divorced,52332,0,0,28-08-2013,6,4
6637,1988,Graduation,Single,66951,0,0,2/11/2013,6,1
3152,1957,Graduation,Together,26091,1,1,25-02-2014,4,5
5610,1965,Graduation,Together,33456,1,1,21-04-2014,5,7
6460,1982,Graduation,Married,28718,1,0,13-07-2013,6,8
1349,1970,Graduation,Married,50447,2,0,21-04-2014,5,6
1880,1959,PhD,Together,53537,1,1,30-01-2014,6,5
641,1967,Graduation,Single,52074,0,1,4/4/2014,2,4
8717,1975,PhD,Married,80427,0,1,12/9/2012,8,5
10314,1948,PhD,Married,83837,0,0,16-12-2012,5,4
10854,1970,PhD,Married,38853,1,1,23-05-2014,8,7
10492,1959,Graduation,Together,38285,2,1,24-06-2014,8,2
6935,1951,2n Cycle,Married,78497,0,0,1/12/2013,10,2
7698,1976,PhD,Married,51650,0,1,11/5/2014,1,5
3559,1988,2n Cycle,Married,16248,1,0,10/5/2014,5,6
10562,1946,Master,Married,66835,0,0,28-09-2013,10,2
10796,1984,Master,Married,30477,1,0,22-01-2014,8,6
2563,1961,Basic,Married,28249,0,0,15-06-2014,6,6
3518,1983,Graduation,Married,25271,1,0,5/12/2012,3,9
5823,1970,PhD,Single,32303,0,1,8/3/2014,5,5
3934,1966,Graduation,Married,61286,0,1,2/8/2013,4,5
6982,1976,Graduation,Married,74068,0,0,19-03-2013,5,2
6431,1964,PhD,Married,45759,1,1,23-02-2013,10,7
9733,1978,Basic,Together,24882,1,0,9/9/2012,2,6
5602,1989,PhD,Together,66973,0,0,17-05-2013,9,3
7829,1900,2n Cycle,Divorced,36640,1,0,26-09-2013,5,5
1324,1988,Graduation,Married,38872,1,0,30-05-2013,10,8
326,1973,Graduation,Married,51148,1,1,18-02-2013,6,6
7224,1977,Graduation,Married,31353,1,1,29-12-2013,2,8
6999,1980,Master,Married,69661,0,0,13-05-2014,6,3
9938,1954,Graduation,Married,80067,0,0,19-09-2013,4,2
6422,1954,Graduation,Married,86718,0,0,17-01-2013,8,2
3182,1973,PhD,Single,46854,1,1,31-03-2014,1,8
7300,1952,Graduation,Divorced,69142,0,1,29-06-2014,3,5
10424,1968,Graduation,Single,75922,0,0,9/12/2013,6,1
8727,1978,Graduation,Divorced,63693,0,1,14-10-2013,1,6
2798,1977,PhD,Together,102160,0,0,2/11/2012,8,4
1030,1965,PhD,Single,40637,1,1,17-07-2013,7,7
624,1984,Master,Single,18890,0,0,10/11/2012,4,6
5176,1988,Graduation,Together,29604,1,0,8/12/2013,5,9
5552,1963,Master,Divorced,48721,1,1,13-05-2013,4,6
868,1966,Graduation,Married,44794,0,1,8/6/2014,1,6
380,1954,Graduation,Divorced,64497,0,1,10/9/2012,2,8
2677,1956,Graduation,Together,46097,0,1,31-03-2013,8,4
6521,1954,Graduation,Together,77972,0,0,18-03-2014,8,1
6927,1968,PhD,Married,44377,1,1,5/10/2012,3,8
2877,1974,Master,Together,46014,1,1,21-01-2013,7,7
0,1985,Graduation,Married,70951,0,0,4/5/2013,6,1
1584,1977,Graduation,Married,41443,1,0,1/4/2014,4,8
7264,1978,2n Cycle,Single,52195,2,1,12/5/2014,3,8
6274,1948,Master,Married,83790,0,0,15-11-2013,1,3
1377,1954,Master,Widow,44551,0,1,31-08-2013,2,7
454,1980,Graduation,Together,69508,1,0,14-11-2012,7,6
1755,1988,2n Cycle,Together,45204,1,0,11/4/2014,6,3
2075,1969,Graduation,Married,72460,0,0,14-11-2013,6,1
4785,1970,PhD,Together,77622,0,2,14-04-2014,2,3
9076,1980,PhD,Married,30732,1,0,5/1/2013,4,8
7079,1962,Graduation,Divorced,63887,0,1,8/9/2012,7,6
4653,1978,Graduation,Together,42011,1,0,26-03-2013,3,8
7375,1976,Graduation,Together,51369,0,1,25-10-2012,2,8
709,1952,Graduation,Divorced,51537,0,1,9/12/2012,1,8
460,1972,PhD,Married,79930,0,0,8/8/2012,5,2
3726,1986,PhD,Together,34320,1,0,16-02-2014,6,8
6798,1966,Graduation,Single,37070,1,1,20-03-2013,8,7
5341,1962,2n Cycle,Divorced,81975,0,1,5/1/2013,6,7
1606,1971,Graduation,Together,38590,1,0,15-05-2013,9,8
9617,1951,Graduation,Single,15033,0,0,16-04-2014,4,3
3233,1965,PhD,Married,62745,0,1,23-03-2013,3,5
89,1975,2n Cycle,Married,22212,1,0,9/12/2013,7,6
2936,1982,Master,Together,23661,1,0,4/12/2013,9,7
9449,1958,PhD,Single,79761,0,1,4/10/2013,8,3
7297,1973,Graduation,Single,7500,1,0,26-12-2013,4,7
11004,1893,2n Cycle,Single,60182,0,1,17-05-2014,8,4
313,1968,Graduation,Widow,73455,0,0,28-10-2013,3,3
9940,1958,Graduation,Together,64961,0,1,23-12-2012,7,3
10735,1971,Graduation,Single,22804,1,0,31-07-2013,5,9
9529,1990,Graduation,Married,73687,0,0,28-11-2013,8,2
6439,1958,Graduation,Married,61074,0,1,17-08-2012,3,7
7411,1964,PhD,Married,31686,1,1,5/6/2014,1,6
2176,1972,Graduation,Married,80134,1,0,20-05-2013,6,6
9265,1953,Graduation,Married,75027,0,1,9/1/2013,3,5
8867,1988,PhD,Married,67546,0,0,31-08-2012,11,3
8932,1969,Master,Together,65176,0,1,29-10-2012,9,6
10236,1975,Master,Single,31160,1,0,16-09-2013,8,8
6340,1985,Graduation,Single,29938,1,0,27-10-2013,8,6
10089,1974,Graduation,Divorced,102692,0,0,5/4/2013,3,2
2227,1958,2n Cycle,Together,26490,0,0,22-09-2012,8,6
10992,1967,Graduation,Together,75702,1,1,29-08-2012,5,8
5304,1974,PhD,Single,30899,1,0,13-10-2012,7,6
309,1961,PhD,Together,63342,0,1,16-10-2012,5,6
3406,1964,Graduation,Single,45989,0,1,22-10-2012,10,3
2661,1964,Graduation,Single,18701,1,1,4/6/2013,7,5
3153,1957,PhD,Single,40737,2,1,8/12/2013,6,8
10264,1979,Graduation,Divorced,15287,1,0,10/10/2012,1,7
1184,1968,PhD,Divorced,69674,0,2,22-05-2013,4,5
4200,1970,Master,Married,44159,1,0,17-06-2014,7,5
9396,1978,PhD,Married,37717,1,0,23-11-2012,3,9
2387,1952,Master,Together,43776,1,1,3/2/2013,2,8
6690,1966,Master,Married,38179,1,1,14-03-2013,2,7
1225,1963,Graduation,Married,80124,0,0,26-06-2014,4,1
9703,1970,PhD,Married,38097,1,1,15-10-2012,3,7
291,1970,Graduation,Married,72940,0,0,19-06-2013,2,1
4557,1970,Graduation,Together,22070,1,0,4/10/2013,6,6
2379,1953,Graduation,Single,69267,0,0,22-09-2012,6,7
5726,1983,Master,Single,31788,1,0,20-03-2014,1,5
3066,1975,PhD,Together,61905,0,1,4/2/2014,5,5
6336,1960,Graduation,Married,29315,1,1,6/4/2014,10,6
10967,1963,Graduation,Divorced,33378,1,1,6/2/2013,3,7
2304,1963,PhD,Together,66313,0,1,16-09-2013,8,4
3445,1956,Graduation,Single,60714,0,0,17-01-2013,12,5
7828,1981,Master,Together,77882,0,0,30-04-2014,3,1
3762,1986,PhD,Single,69867,0,0,2/4/2013,6,1
4391,1968,Master,Divorced,63841,0,1,21-04-2013,3,6
4669,1981,Basic,Married,24480,1,0,11/2/2013,7,7
10144,1976,Graduation,Together,51369,0,1,25-10-2012,7,8
8652,1946,Graduation,Together,37760,0,0,31-08-2012,4,7
1672,1974,PhD,Together,65640,0,1,1/3/2014,6,2
8962,1975,Master,Married,44319,1,1,17-04-2014,2,5
9974,1974,Graduation,Married,30631,1,0,12/7/2013,5,7
10983,1952,Graduation,Together,75278,0,0,29-01-2013,6,3
8148,1956,Master,Together,50898,1,1,8/1/2013,1,5
10102,1966,Graduation,Widow,79946,0,0,12/5/2014,3,3
4697,1949,Master,Divorced,35416,0,0,13-06-2013,7,8
9262,1984,2n Cycle,Together,32414,0,0,4/7/2013,8,7
7254,1969,Graduation,Together,38361,1,0,27-12-2013,9,7
4543,1980,Graduation,Married,82497,0,0,31-10-2012,2,4
4927,1971,Graduation,Together,16626,2,0,15-01-2014,8,9
10451,1965,Graduation,Together,29672,1,1,12/3/2013,3,6
2926,1952,Master,Together,55951,0,1,23-08-2012,4,8
2874,1988,2n Cycle,Divorced,35388,1,0,7/3/2013,3,7
9738,1986,Master,Together,42386,1,0,13-01-2013,5,8
7119,1982,Graduation,Single,68627,0,0,12/1/2013,6,1
3924,1965,PhD,Divorced,57912,0,1,17-03-2014,1,5
5827,1958,Graduation,Divorced,35246,1,1,16-04-2014,8,5
5596,1956,2n Cycle,Together,58821,0,1,12/10/2013,13,6
10812,1978,PhD,Married,46377,1,0,1/3/2014,2,4
1717,1988,Graduation,Single,39747,1,0,13-04-2014,3,8
9491,1984,Graduation,Together,23976,1,0,27-12-2013,1,7
9274,1961,Master,Married,80950,0,0,28-03-2013,4,2
6609,1966,Graduation,Widow,27038,0,0,18-09-2012,5,9
6963,1947,Graduation,Single,77457,0,0,5/3/2014,3,1
4440,1964,Master,Married,64100,0,1,10/9/2013,4,7
1379,1992,Master,Together,42670,0,0,27-04-2013,7,4
10032,1976,Graduation,Divorced,12571,1,0,18-01-2014,1,6
2826,1967,Graduation,Married,22574,2,1,28-10-2013,2,7
2437,1989,Graduation,Married,,0,0,3/6/2013,9,3
6320,1976,Master,Single,70893,0,0,6/2/2013,4,3
3050,1966,Graduation,Married,54198,1,1,17-12-2013,4,4
231,1956,Master,Together,28839,1,1,11/3/2014,6,5
2392,1972,Graduation,Married,40321,1,1,29-07-2013,2,7
9478,1985,Graduation,Single,66503,1,0,14-08-2012,4,3
113,1951,Graduation,Married,30833,1,1,16-07-2013,4,5
2863,1970,Graduation,Single,,1,2,23-08-2013,5,7
1802,1971,Graduation,Married,64795,0,1,17-01-2013,9,2
520,1974,Graduation,Married,34421,1,0,1/7/2013,7,7
8275,1965,PhD,Divorced,47025,1,1,9/2/2014,5,7
9750,1961,PhD,Divorced,64325,0,1,7/2/2013,7,7
2607,1953,Graduation,Single,40464,0,1,11/1/2013,7,8
7214,1957,Graduation,Married,62187,0,0,5/7/2013,7,3
5835,1976,PhD,Divorced,14849,1,0,2/7/2013,2,8
3896,1984,Graduation,Married,27255,1,0,7/11/2013,5,7
10350,1950,PhD,Married,54432,2,1,9/5/2013,7,4
7786,1986,PhD,Single,29999,1,0,13-02-2013,6,8
2861,1983,Graduation,Single,24072,1,0,16-04-2013,1,8
663,1989,PhD,Single,33996,0,0,11/9/2013,6,4
10675,1956,PhD,Married,66334,0,1,3/4/2013,3,5
2521,1971,Master,Married,35178,1,0,10/1/2013,4,7
9592,1983,Graduation,Together,22010,1,0,30-06-2013,5,8
10151,1960,Graduation,Divorced,62204,0,2,12/9/2012,4,3
7381,1968,Graduation,Divorced,75693,0,0,6/12/2012,8,4
4099,1972,Graduation,Married,30675,1,0,12/11/2012,1,8
9560,1965,Graduation,Together,83003,0,0,3/3/2013,3,3
1150,1899,PhD,Together,83532,0,0,26-09-2013,3,1
10172,1988,Graduation,Single,68655,0,0,10/8/2012,4,3
11191,1986,Graduation,Divorced,41411,0,0,7/12/2013,8,6
9707,1969,PhD,Married,55212,0,1,23-11-2012,3,8
6245,1950,PhD,Together,59292,0,1,13-06-2013,2,3
8234,1973,Basic,Together,27190,1,0,15-08-2013,6,8
1411,1952,Graduation,Divorced,82623,0,0,10/11/2013,3,1
8553,1965,Graduation,Married,44300,1,1,23-06-2013,2,6
1826,1970,Graduation,Divorced,84835,0,0,16-06-2014,8,1
8842,1971,Graduation,Widow,30372,1,1,25-12-2012,1,7
11030,1976,Master,Married,33181,1,0,3/1/2014,4,6
2579,1957,Graduation,Married,71113,0,1,17-12-2013,6,4
175,1986,Graduation,Married,71952,1,0,10/1/2013,3,4
9185,1966,PhD,Single,69759,0,0,28-10-2013,10,3
11056,1974,Graduation,Married,72099,0,0,27-10-2012,7,1
9365,1976,PhD,Single,60000,0,1,22-12-2012,6,6
6201,1978,Graduation,Single,38643,1,1,29-11-2013,5,7
2061,1955,Graduation,Married,50737,0,1,11/5/2013,8,6
6184,1969,PhD,Married,68462,0,0,12/12/2012,4,1
6142,1943,Master,Married,65073,0,0,20-08-2013,8,2
4107,1948,PhD,Together,46681,0,2,8/10/2013,4,5
7274,1957,Graduation,Married,78618,0,0,28-09-2012,1,2
9336,1969,PhD,Widow,62187,0,1,22-03-2014,10,4
2958,1978,Graduation,Married,28442,2,0,24-02-2014,5,4
933,1978,PhD,Married,37717,1,0,23-11-2012,6,9
5837,1967,Graduation,Married,51479,1,1,28-12-2012,7,7
10704,1969,Graduation,Single,54803,0,1,21-08-2012,8,4
5125,1960,Graduation,Married,79530,0,0,17-05-2013,3,2
4432,1976,Graduation,Divorced,31615,1,0,16-03-2013,9,7
5955,1962,Graduation,Together,72025,0,0,17-11-2012,9,3
2928,1975,PhD,Single,52614,0,1,1/12/2012,6,8
5680,1984,2n Cycle,Married,35684,1,0,22-04-2014,3,6
10313,1975,Graduation,Married,48178,1,1,28-10-2012,5,8
2557,1970,Master,Single,29548,1,0,29-08-2013,10,4
1245,1966,Graduation,Single,63810,0,1,11/11/2012,9,8
1519,1972,PhD,Single,38578,1,1,22-06-2013,4,8
10703,1975,Master,Single,46098,1,1,18-08-2012,5,8
1726,1970,Graduation,Single,22585,0,0,18-03-2013,2,9
4459,1989,Graduation,Single,30279,1,0,30-12-2012,4,8
1729,1961,PhD,Together,66426,0,1,2/10/2013,11,6
1517,1969,Graduation,Single,30822,1,0,14-06-2013,1,7
2098,1969,PhD,Married,33581,2,0,8/1/2013,7,8
9543,1985,Graduation,Married,19986,1,0,14-11-2013,1,7
6878,1954,Graduation,Widow,27421,0,0,12/12/2012,7,7
3310,1973,2n Cycle,Married,35688,2,1,22-08-2012,6,8
2724,1981,Master,Single,36143,1,0,30-03-2014,4,3
948,1971,Graduation,Single,10245,1,0,15-05-2013,9,5
6720,1968,Master,Together,43795,0,1,16-10-2013,3,7
6202,1960,Graduation,Together,63381,0,1,5/10/2012,3,2
2066,1949,Graduation,Together,38823,0,1,30-08-2012,4,6
9799,1968,PhD,Divorced,83664,1,1,8/5/2013,8,5
8318,1979,Graduation,Together,90300,0,0,3/1/2014,6,1
5642,1979,Master,Together,62499,1,0,9/12/2013,8,4
2669,1993,Graduation,Single,74293,0,0,4/5/2014,9,2
455,1946,PhD,Married,51012,0,0,18-04-2013,4,6
7683,1968,Master,Married,70777,0,1,25-02-2014,4,3
3428,1991,PhD,Together,68682,0,0,6/10/2013,10,2
7414,1971,Graduation,Married,43824,1,1,15-09-2012,7,8
6354,1984,Graduation,Together,15345,1,0,31-08-2012,6,8
798,1987,Graduation,Single,23442,1,0,24-12-2012,4,7
8213,1980,2n Cycle,Together,14515,1,0,9/11/2012,3,7
2488,1956,2n Cycle,Divorced,31395,1,1,23-03-2013,1,6
9999,1965,Graduation,Together,75276,0,0,27-09-2012,7,5
7617,1974,Graduation,Single,42373,1,1,15-08-2013,1,5
615,1960,Graduation,Together,30507,0,0,11/3/2013,5,7
2552,1955,PhD,Single,55521,1,2,22-10-2013,2,7
194,1965,Graduation,Married,48006,1,1,9/6/2014,1,6
3645,1972,PhD,Single,27213,1,0,30-08-2012,2,8
8890,1971,PhD,Divorced,65808,1,1,30-05-2014,6,6
5049,1974,PhD,Together,30351,1,0,6/6/2013,8,9
9973,1963,Graduation,Married,50437,0,2,17-10-2012,8,7
7301,1982,2n Cycle,Single,23616,1,0,17-11-2012,7,8
10882,1976,Graduation,Married,53858,0,1,9/11/2012,9,4
7030,1955,PhD,Married,66465,0,1,30-03-2013,4,6
7422,1987,Graduation,Single,46923,1,0,22-08-2012,1,7
3523,1962,Graduation,Together,75072,0,1,23-01-2013,3,3
7106,1943,PhD,Married,75865,0,0,31-03-2014,3,1
6504,1975,2n Cycle,Together,19789,1,0,20-11-2013,8,5
5067,1994,Graduation,Together,80134,0,0,14-02-2014,8,5
4216,1981,Graduation,Single,91065,0,0,22-02-2013,3,3
8581,1971,Master,Married,49505,1,1,5/3/2013,8,8
5929,1973,PhD,Married,37401,1,0,6/5/2014,4,7
3129,1983,Graduation,Married,30096,1,0,22-05-2014,5,6
6528,1982,Master,Together,18492,1,0,5/6/2014,4,8
1361,1974,Master,Married,82584,0,0,4/6/2013,7,1
6932,1941,PhD,Married,93027,0,0,13-04-2013,6,2
7284,1953,Graduation,Married,48686,1,2,4/12/2013,2,8
1340,1986,Graduation,Married,92910,0,0,24-04-2014,3,1
8746,1989,Graduation,Married,75433,1,0,5/4/2014,7,6
5987,1989,2n Cycle,Together,10404,1,0,4/5/2014,6,5
3767,1968,Graduation,Married,61314,0,1,25-04-2013,6,3
3725,1961,PhD,Single,84865,0,0,9/5/2013,9,4
4324,1989,Graduation,Married,42387,1,0,29-10-2012,2,8
238,1967,2n Cycle,Together,67309,1,1,23-01-2013,7,7
6694,1964,Graduation,Married,75236,0,1,25-11-2013,7,4
498,1970,Graduation,Single,30015,1,0,2/2/2014,4,5
9347,1956,Master,Together,50943,0,1,21-06-2013,2,5
9699,1966,Graduation,Divorced,67272,0,1,21-12-2013,10,5
